,cid,cname,uname,desc,type,link,platform,upvoteCount,price,prereq
20,20,Data Analysis and Visualization,Developer,"Data and visual analytics is an emerging field concerned with analyzing, modeling, and visualizing complex high dimensional data. This course will introduce students to the field by covering 
state­-of-­the-art modeling, analysis and visualization techniques. ",Data Analysis,https://www.udacity.com/course/data-analysis-and-visualization--ud404,Udacity,13,0,None
21,21,The Arduino Platform and C Programming,Developer,The Arduino is an open-source computer hardware/software platform for building digital devices and interactive objects that can sense and control the physical world around them. In this class you will learn how the Arduino platform works in terms of the physical board and libraries and the IDE (integrated development environment).,C,https://www.coursera.org/learn/arduino-platform,Coursera,8,0,None
22,22,Introduction to Computer Programming,Developer,"This MOOC provides you with the foundational skill set required to write computer programs. If you are interested in learning how to write interactive, graphical programs from an introductory level in a real programming language, this is the course for you.",C,https://www.coursera.org/learn/introduction-to-computer-programming,Coursera,9,0,None
23,23,C Programming Tutorial,Developer,,C,https://www.youtube.com/watch?v=-CpG3oATGIs,Youtube,10,1,None
24,24,Java Programming Basics,Developer,"Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions.",Java,https://www.udacity.com/course/java-programming-basics--ud282,Udacity,9,0,None
25,25,Android Basics: User Interface,Developer,Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.,Java,https://www.udacity.com/course/android-basics-user-interface--ud834,Udacity,8,0,None
26,26,Java Programming and Software Engineering Fundamentals Specialization,Developer,Take your first step towards a career in software development with this introduction to Java—one of the most in-demand programming languages and the foundation of the Android operating system. and debugging your programs.,Java,https://www.coursera.org/specializations/java-programming,Coursera,7,0,None
27,27,Object Oriented Programming in Java Specialization,Developer,"This Specialization is for aspiring software developers with some programming experience in at least one other programming language (e.g., Python, C, JavaScript, etc.) who want to be able to solve more complex problems through objected-oriented design with Java. In addition to learning Java.",Java,https://www.coursera.org/specializations/object-oriented-programming,Coursera,11,0,None
28,28,Learn Java 8,Developer,,Java,https://www.youtube.com/watch?v=grEKMHGYyns,Youtube,10,1,None
29,29,Java Tutorial for Beginners,Developer,,Java,https://www.youtube.com/watch?v=3u1fu6f8Hto,Youtube,5,1,None
30,30,Kotlin Bootcamp for Programmers,Developer,Learn the essentials of the Kotlin programming language from Kotlin experts at Google. Kotlin is a modern and concise JVM language that supports functional programming paradigms.,Kotlin,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011,Udacity,14,0,None
31,31,Kotlin for Android Developers,Developer,"In this course, Aaron Sarazan, Lead Software Engineer at Capital One and a leading advocate for Kotlin, demonstrates how to take a basic Android app in Java and convert it to Kotlin",Kotlin,https://www.udacity.com/course/kotlin-for-android-developers--ud888,Udacity,8,0,None
32,32,Kotlin Programming for Android,Developer,,Kotlin,https://www.youtube.com/watch?v=VEqhzCFmEQI&list=PLlxmoA0rQ-LwgK1JsnMsakYNACYGa1cjR,Youtube,10,1,None
33,33,Python Django Web Framework,Developer,,Web Development,https://www.youtube.com/watch?v=F5mRW0jo-U4,Youtube,6,1,None
34,34,Intro to Machine Learning,Developer,"The Intro to Machine Learning program is for students with Python experience, and covers foundational machine learning algorithms. The Machine Learning Engineer program is for students with some ML background, and covers production and deployment.",Machine Learning,https://www.udacity.com/course/machine-learning-engineer-nanodegree--nd009t,Udacity,8,0,None
35,35,Become a Self Driving Car Engineer,Developer,"You'll first apply computer vision and deep learning to automotive problems, including detecting lane lines, predicting steering angles, and more. Next, you'll learn sensor fusion, which you'll use to filter data from an array of sensors in order to perceive the environment. Then, you'll work with a team to program Carla, Udacity’s real self-driving car.",Machine Learning,https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd013,Udacity,9,0,None
36,36,Intro to Machine Learning,Developer,"This class will teach you the end-to-end process of investigating data through a machine learning lens, and you'll apply what you've learned to a real-world data set.",Machine Learning,https://www.udacity.com/course/intro-to-machine-learning--ud120,Udacity,16,0,None
37,37,Machine Learning,Developer,Machine Learning is a graduate-level course covering the area of Artificial Intelligence concerned with computer programs that modify and improve their performance through experiences.,Machine Learning,https://www.udacity.com/course/machine-learning--ud262,Udacity,11,0,None
38,38,Introduction to Computer Vision,Developer,"This course provides an introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, multiview geometry including stereo, motion estimation and tracking, and classification.",Machine Learning,https://www.udacity.com/course/introduction-to-computer-vision--ud810,Udacity,11,0,None
39,39,Intro to Artificial Intelligence,Developer,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.",Machine Learning,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,Udacity,15,0,None
40,40,Machine Learning,Developer,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome.",Machine Learning,https://www.coursera.org/learn/machine-learning,Coursera,15,0,None
41,41,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Developer,"If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.",Machine Learning,https://www.coursera.org/learn/introduction-tensorflow,Coursera,14,0,None
42,42,Machine Learning Tutorial,Developer,,Machine Learning,https://www.youtube.com/watch?v=DWsJc1xnOZo,Youtube,13,1,None
43,43,Complete Machine Learning Course,Developer,,Machine Learning,https://www.youtube.com/watch?v=b2q5OFtxm6A,Youtube,14,1,None
44,44,Intro to Data Analysis,Developer,"Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib.",Data Analysis,https://www.udacity.com/course/intro-to-data-analysis--ud170,Udacity,13,0,None
45,45,SQL for Data Analysis,Developer,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases,Data Analysis,https://www.udacity.com/course/sql-for-data-analysis--ud198,Udacity,12,0,None
